"movie_id","title","description","genre","language","release_date","duration_minutes","poster_url","age_rating","rating","features","director","cast_members","banner_url","trailer_url","tagline","keywords"
3,Gladiator 2,"Set years after the original, the film follows Lucius, the son of Lucilla and nephew of Commodus. Inspired by the legacy of Maximus, Lucius has been living in the wilderness, having forsaken his noble birthright. However, a series of events brings him back into the orbit of Rome, which is now co-ruled by emperors Geta and Caracalla. Lucius is drawn into the brutal world of the arena, forcing him to confront his past and fight for his own vision of Rome.","Action, Drama",English,2024-11-22,148,https://image.tmdb.org/t/p/original/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,R,7.0,{IMAX},Ridley Scott,"{""Paul Mescal"",""Denzel Washington""}",https://image.tmdb.org/t/p/original/bHeUgZKqduubnNl8GshjrpHS9lF.jpg,https://www.youtube.com/watch?v=4-PzC8xefbI,What we do in life echoes in eternity.,"{rome,gladiator,revenge}"
6,Barbie,"""Stereotypical Barbie"" lives a perfect life in the matriarchal Barbie Land, until she begins to experience an existential crisis, plagued by thoughts of death and developing flat feet. To cure her afflictions, she is instructed to travel to the real world to find the child playing with her. Ken stows away, and upon arriving in Los Angeles, they discover a patriarchal society that challenges their entire worldview, leading Ken to bring patriarchy back to Barbie Land and forcing Barbie to fight to restore her home.","Comedy, Fantasy",English,2023-07-21,114,https://image.tmdb.org/t/p/original/vJ4r8imQ9piseO9ufCwsopBBWnZ.jpg,PG-13,6.9,{IMAX},Greta Gerwig,"{""Margot Robbie"",""Ryan Gosling""}",https://image.tmdb.org/t/p/original/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,https://www.youtube.com/watch?v=pBwE0Bf1aXQ,She's everything. He's just Ken.,"{doll,pink,patriarchy}"
5,Joker: Folie à Deux,"Following the events of the first film, Arthur Fleck is now incarcerated at Arkham State Hospital. There, he encounters Harleen Quinzel, another patient with her own complex past and delusions. A dark, musical-infused romance blossoms between them, built on their shared madness. Their ""folie à deux"" (a madness shared by two) inspires them to plot a chaotic escape and unleash a new wave of mayhem on Gotham City.","Musical, Thriller",English,2024-10-04,139,https://image.tmdb.org/t/p/original/if8QiqCI7WAGImKcJCfzp6VTyKA.jpg,R,6.6,{IMAX},Todd Phillips,"{""Joaquin Phoenix"",""Lady Gaga""}",https://image.tmdb.org/t/p/original/tEYp1Z1XhuFmqK0WAMh5DYz9SUT.jpg,https://www.youtube.com/watch?v=xyV-wF0hClY,The world is a stage.,"{gotham,musical,asylum}"
8,Wicked,"Set in the Land of Oz long before Dorothy arrives, the story follows Elphaba, a young woman with emerald-green skin who is misunderstood and ostracized. She arrives at Shiz University, where she forms an unlikely friendship with the popular and bubbly Galinda. The film explores their complex relationship and the divergent paths they take—one becoming the Wicked Witch of the West, the other Glinda the Good—as they navigate the corrupt government of the Wonderful Wizard of Oz.","Fantasy, Musical",English,2024-11-22,165,https://image.tmdb.org/t/p/original/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,PG,7.0,"{3D,IMAX}",Jon M. Chu,"{""Cynthia Erivo"",""Ariana Grande""}",https://image.tmdb.org/t/p/original/jTOeWjamUKGxWVUO1TMZXqQUarw.jpg,https://www.youtube.com/watch?v=F1dvX-VdZ8E,Everyone deserves a chance to fly.,"{oz,witch,musical}"
9,Moana 2,"Three years after her first voyage, Moana receives an unexpected call from her wayfinding ancestors. She learns of a lost, legendary island named Motufetu, which once connected all the islands, but was sunk by the vengeful storm god Nalo. To break the curse and reconnect her people, Moana assembles a new crew and reunites with Maui for an expansive and dangerous new voyage into the far seas of Oceania.","Animation, Adventure",English,2024-11-27,100,https://image.tmdb.org/t/p/original/m0SbwFNCa9epW1X60deLqTHiP7x.jpg,PG,6.0,"{3D,IMAX}",David G. Derrick Jr.,"{""Auliʻi Cravalho"",""Dwayne Johnson""}",https://image.tmdb.org/t/p/original/z6H78tQNcryTO4sgDjg8Knc6H9W.jpg,https://www.youtube.com/watch?v=EwT-1M8M48Q,She's back.,"{ocean,voyaging,ancestors}"
1,Dune: Part Two,"The film follows Paul Atreides as he unites with Chani and the Fremen people of the desert planet Arrakis. On a path of revenge against the conspirators who destroyed his family, Paul is forced to choose between the love of his life and the fate of the known universe. He endeavors to prevent a terrible future that only he can foresee, all while contending with the rising power of House Harkonnen and the political manipulations of the Emperor.","Sci-Fi, Adventure",English,2024-03-01,166,https://image.tmdb.org/t/p/original/czembW0Rk1Ke7lCJGahbOhdCuhV.jpg,PG-13,8.5,"{IMAX,4DX}",Denis Villeneuve,"{""Timothée Chalamet"",Zendaya}",https://image.tmdb.org/t/p/original/f6ahdeUZPwUVirr86gcZ1QmiasQ.jpg,https://www.youtube.com/watch?v=U2Qp5pL3ovA,Long live the fighters.,"{desert,prophecy,war}"
7,Oppenheimer,"This biographical epic follows the life of J. Robert Oppenheimer, the theoretical physicist who headed the Los Alamos Laboratory during the Manhattan Project. The film, split across different timelines, details his early academic life, his leadership in the race to build the first atomic bomb, and the moral and political fallout he faced after the war, culminating in his 1954 security clearance hearing where his loyalty to the United States was questioned.","Biography, Drama",English,2023-07-21,180,https://image.tmdb.org/t/p/original/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,R,8.3,"{IMAX,70mm}",Christopher Nolan,"{""Cillian Murphy"",""Emily Blunt""}",https://image.tmdb.org/t/p/original/kMa1TSDj76zTSleXE7xsuZ4s3i0.jpg,https://www.youtube.com/watch?v=gHsqNYYdp0w,The world forever changes.,"{wwii,""atomic bomb"",physicist}"
2,Inside Out 2,"The story returns to the mind of Riley, who is now a teenager. Headquarters undergoes a sudden demolition to make room for something entirely unexpected: new Emotions. Joy, Sadness, Anger, Fear, and Disgust, who’ve long been running a successful operation, aren't sure how to feel when Anxiety shows up. And it looks like she’s not alone, as Embarrassment, Ennui, and Envy soon join, throwing Riley's sense of self into chaos during a pivotal weekend hockey camp.","Animation, Family",English,2024-06-14,96,https://image.tmdb.org/t/p/original/mmdBbXCs85JxxKyG664KI46rdC3.jpg,PG,7.7,"{3D,IMAX}",Kelsey Mann,"{""Amy Poehler"",""Maya Hawke""}",https://image.tmdb.org/t/p/original/coATv42PoiLqAFKStJiMZs2r6Zb.jpg,https://www.youtube.com/watch?v=LEjhY15eCx0,A head full of new emotions.,"{emotion,teen,anxiety}"
4,Deadpool & Wolverine,"Wade Wilson, who has been grappling with his failures, is pulled from his quiet life by the Time Variance Authority (TVA). The TVA informs him that his universe is in danger and recruits him for a mission to save the Sacred Timeline. He is partnered with a reluctant and broken variant of Wolverine, who is grieving the loss of his own world. The two must overcome their clashing personalities to work together and stop Cassandra Nova, a powerful new threat, from destroying the multiverse.","Action, Comedy",English,2024-07-26,127,https://image.tmdb.org/t/p/original/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,R,7.5,"{IMAX,4DX,ScreenX}",Shawn Levy,"{""Ryan Reynolds"",""Hugh Jackman""}",https://image.tmdb.org/t/p/original/ufpeVEM64uZHPpzzeiDNIAdaeOD.jpg,https://www.youtube.com/watch?v=uJMCNJP2-c,They're not happy to be stuck...,"{marvel,multiverse,comedy}"
11,Furiosa: A Mad Max Saga,"This prequel follows the origin story of Imperator Furiosa. Snatched from the ""Green Place of Many Mothers"" as a child, she falls into the hands of a great Biker Horde led by the Warlord Dementus. As they sweep through the Wasteland, they come across the Citadel, presided over by Immortan Joe. Furiosa is forced to survive as the two tyrants war for dominance, all while she plots her escape and seeks a way back home.","Action, Sci-Fi",English,2024-05-24,148,https://image.tmdb.org/t/p/original/iADOJ8Zymht2JPMoy3R7xceZprc.jpg,R,7.7,"{IMAX,4DX}",George Miller,"{""Anya Taylor-Joy"",""Chris Hemsworth""}",https://image.tmdb.org/t/p/original/noll2jqGmzbWKwtFCPuV46lS9dA.jpg,https://www.youtube.com/watch?v=XJMuhwVlca4,"The world falls, but she rises.","{post-apocalypse,wasteland}"
